date,close,volume,open,high,low
07/07/14,65.29,28688050.00,66.30,66.57,65.12
07/03/14,66.29,25203220.00,66.86,67.00,65.76
07/02/14,66.45,41778400.00,68.04,68.30,65.79
07/01/14,68.06,33156390.00,67.58,68.44,67.39
06/30/14,67.29,27078350.00,67.46,67.92,67.13
06/27/14,67.60,46396950.00,67.31,67.70,66.84
06/26/14,67.13,47618020.00,68.00,68.00,66.90
06/25/14,67.44,44183630.00,65.58,67.48,65.57
06/24/14,65.72,57260230.00,65.36,67.17,65.27
06/23/14,65.37,34424160.00,64.32,65.66,64.22
06/20/14,64.50,46394230.00,64.46,64.81,63.35
06/19/14,64.34,34097910.00,65.46,65.58,64.21
06/18/14,65.60,35450700.00,64.49,65.75,64.05
06/17/14,64.40,27629660.00,64.10,64.88,63.93
06/16/14,64.19,30849450.00,64.16,64.88,63.75
06/13/14,64.50,29367820.00,64.70,64.97,63.83
06/12/14,64.29,55604800.00,65.85,66.47,64.06
06/11/14,65.78,44132140.00,65.32,65.80,64.90
06/10/14,65.77,69105010.00,63.53,65.82,63.50
06/09/14,62.88,37474470.00,62.40,63.34,61.79
06/06/14,62.50,42373250.00,63.37,63.48,62.15
06/05/14,63.19,47278710.00,63.66,64.36,62.82
06/04/14,63.34,36460620.00,62.45,63.59,62.07
06/03/14,62.87,32097900.00,62.62,63.42,62.32
06/02/14,63.08,35946770.00,63.23,63.59,62.05
05/30/14,63.30,45224820.00,63.95,64.17,62.56
05/29/14,63.83,42333090.00,63.84,64.30,63.51
05/28/14,63.51,47746450.00,63.39,64.14,62.62
05/27/14,63.48,55546990.00,61.62,63.51,61.57
05/23/14,61.35,38210700.00,60.41,61.45,60.15
05/22/14,60.52,54067890.00,60.94,61.48,60.40
05/21/14,60.49,58814920.00,58.56,60.50,58.25
05/20/14,58.56,53804590.00,59.50,60.19,58.18
05/19/14,59.21,42968380.00,57.89,59.56,57.57
05/16/14,58.02,47850350.00,58.31,58.45,57.31
05/15/14,57.92,56691940.00,59.26,59.38,57.52
05/14/14,59.23,47379700.00,59.53,60.45,58.95
05/13/14,59.83,48442200.00,59.66,60.89,59.51
05/12/14,59.83,48403930.00,57.98,59.90,57.98
05/09/14,57.24,52497050.00,56.85,57.65,56.38
05/08/14,56.76,61143360.00,57.23,58.82,56.50
05/07/14,57.39,78450290.00,58.77,59.30,56.26
05/06/14,58.53,55798800.00,60.98,61.15,58.49
05/05/14,61.22,45938990.00,59.67,61.35,59.18
05/02/14,60.46,54086030.00,61.30,61.89,60.18
05/01/14,61.15,82319330.00,60.43,62.28,60.21
04/30/14,59.78,75599310.00,57.58,59.85,57.16
04/29/14,58.15,75339000.00,56.09,58.28,55.84
04/28/14,56.14,107534200.00,58.05,58.31,54.66
04/25/14,57.71,92257140.00,59.97,60.01,57.57
04/24/14,60.87,138477000.00,63.60,63.65,59.77
04/23/14,61.36,94013700.00,63.45,63.48,61.26
04/22/14,63.03,60328420.00,62.65,63.44,62.22
04/21/14,61.24,60064820.00,59.46,61.24,59.15
04/17/14,58.94,87956250.00,59.30,60.58,58.72
04/16/14,59.72,78548910.00,59.79,60.19,57.74
04/15/14,59.09,108466300.00,59.29,59.68,55.88
04/14/14,58.89,72152260.00,60.09,60.45,57.78
04/11/14,58.53,91373170.00,57.60,60.31,57.31
04/10/14,59.16,114767600.00,63.08,63.18,58.68
04/09/14,62.41,99918180.00,59.63,62.46,59.19
04/08/14,58.19,78732130.00,57.68,58.71,57.17
04/07/14,56.95,108324400.00,55.90,58.00,55.44
04/04/14,56.75,125198200.00,59.94,60.20,56.32
04/03/14,59.49,83585460.00,62.55,63.17,59.13
04/02/14,62.72,66149490.00,63.21,63.91,62.21
04/01/14,62.62,59098260.00,60.46,62.66,60.24
03/31/14,60.24,52921180.00,60.78,61.52,59.87
03/28/14,60.01,66888000.00,61.34,61.95,59.34
03/27/14,60.97,112453500.00,60.51,61.90,57.98
03/26/14,60.39,97436810.00,64.74,64.95,60.37
03/25/14,64.89,68168890.00,64.89,66.19,63.78
03/24/14,64.10,85551700.00,67.19,67.36,63.36
03/21/14,67.24,59993420.00,67.53,67.92,66.18
03/20/14,66.97,44344660.00,68.01,68.23,66.82
03/19/14,68.24,43909250.00,69.17,69.29,67.47
03/18/14,69.19,40731150.00,68.76,69.60,68.30
03/17/14,68.74,52098860.00,68.18,68.95,66.62
03/14/14,67.72,48095760.00,68.49,69.43,67.46
03/13/14,68.83,56954770.00,71.29,71.35,68.15
03/12/14,70.88,46332080.00,69.86,71.35,69.00
03/11/14,70.10,59364950.00,72.50,72.59,69.96
03/10/14,72.03,59853820.00,70.77,72.15,70.51
03/07/14,69.80,38918700.00,71.08,71.18,69.47
03/06/14,70.84,46023480.00,71.88,71.89,70.25
03/05/14,71.57,74560670.00,69.69,71.97,69.62
03/04/14,68.80,41996420.00,68.66,68.90,67.62
03/03/14,67.41,56813110.00,66.96,68.05,66.51
02/28/14,68.46,66738010.00,69.47,69.88,67.38
02/27/14,68.94,41638450.00,69.34,70.01,68.87
02/26/14,69.26,55302090.00,70.19,71.22,68.85
02/25/14,69.85,52062710.00,70.95,71.00,69.45
02/24/14,70.78,76735760.00,68.74,71.44,68.54
02/21/14,68.59,70923530.00,69.69,69.96,68.45
02/20/14,69.63,130880100.00,67.73,70.11,65.73
02/19/14,68.06,60295610.00,67.05,69.08,67.00
02/18/14,67.30,43798520.00,66.94,67.54,66.07
02/14/14,67.09,36731220.00,67.50,67.58,66.72
02/13/14,67.33,61883050.00,64.18,67.33,64.05
02/12/14,64.45,47260370.00,64.92,65.06,64.05
02/11/14,64.85,45657700.00,63.75,65.00,63.35
02/10/14,63.55,43642880.00,64.30,64.49,63.47
02/07/14,64.32,60762540.00,62.27,64.57,62.22
02/06/14,62.16,42079800.00,61.46,62.78,61.46
02/05/14,62.19,51553330.00,62.74,63.16,61.27
02/04/14,62.75,45977670.00,62.05,63.14,61.82
02/03/14,61.48,74852940.00,63.03,63.77,60.70
01/31/14,62.57,87774330.00,60.47,63.37,60.17
01/30/14,61.08,150128200.00,62.12,62.50,60.46
01/29/14,53.53,89786860.00,54.61,54.95,53.19
01/28/14,55.14,48182940.00,54.02,55.28,54.00
01/27/14,53.55,73888900.00,54.73,54.94,51.85
01/24/14,54.45,55410210.00,56.15,56.42,54.40
01/23/14,56.63,47945860.00,56.37,56.68,55.69
01/22/14,57.51,61349130.00,58.85,59.31,57.10
01/21/14,58.51,48658930.00,56.60,58.58,56.50
01/17/14,56.30,40845940.00,57.30,57.82,56.07
01/16/14,57.19,34537020.00,57.26,58.02,56.83
01/15/14,57.60,33655610.00,57.98,58.57,57.27
01/14/14,57.74,37487240.00,56.46,57.78,56.10
01/13/14,55.91,62888480.00,57.91,58.25,55.38
01/10/14,57.94,42443990.00,57.13,58.30,57.06
01/09/14,57.22,92236170.00,58.65,58.96,56.65
01/08/14,58.23,56669280.00,57.60,58.41,57.23
01/07/14,57.92,77201940.00,57.70,58.55,57.22
01/06/14,57.20,68773580.00,54.42,57.26,54.05
01/03/14,54.56,38244700.00,55.02,55.65,54.53
